id,name,city,state,address,category,rating,specialities,accreditation,available_beds,contact,angioplasty_cost,bypass_surgery_cost,knee_replacement_cost,hip_replacement_cost,cataract_cost,appendectomy_cost,dialysis_cost,chemotherapy_cost,spine_surgery_cost,organ_transplant_cost
H001,Orange City Hospital & Research Institute,Nagpur,Maharashtra,"Nagpur, Maharashtra",Private,4.7,"Cardiology,Orthopedics,Oncology,Neurology",NABH,450,+91-712-2222222,220000,650000,280000,320000,35000,60000,3000,80000,350000,1200000
H002,Alexis Multispecialty Hospital,Nagpur,Maharashtra,"Dhantoli, Nagpur",Private,4.5,"Cardiology,Oncology,Nephrology",NABH,300,+91-712-3333333,240000,700000,300000,340000,40000,65000,3500,90000,380000,1300000
H003,Lata Mangeshkar Hospital,Nagpur,Maharashtra,"Nagpur, Maharashtra",Trust,4.3,"Cardiology,General Surgery,Gynecology",,250,+91-712-4444444,180000,580000,260000,290000,30000,55000,2800,70000,320000,1000000
H004,Government Medical College Hospital,Nagpur,Maharashtra,"GMC Campus, Nagpur",Government,3.8,"Cardiology,Orthopedics,General Surgery,Oncology",,800,+91-712-5555555,80000,250000,120000,140000,10000,25000,1000,30000,150000,500000
H005,Care Hospital,Nagpur,Maharashtra,"Nagpur, Maharashtra",Private,4.4,"Cardiology,Neurology,Orthopedics",NABH,280,+91-712-6666666,210000,630000,270000,310000,38000,58000,3200,85000,360000,1150000
H006,Kokilaben Dhirubhai Ambani Hospital,Mumbai,Maharashtra,"Andheri West, Mumbai",Private,4.9,"Cardiology,Oncology,Neurology,Orthopedics,Nephrology",JCI,700,+91-22-30999999,380000,950000,420000,480000,55000,95000,5000,130000,550000,2000000
H007,Lilavati Hospital,Mumbai,Maharashtra,"Bandra West, Mumbai",Private,4.7,"Cardiology,Oncology,Orthopedics,Neurology",NABH,323,+91-22-26568000,350000,900000,400000,450000,50000,85000,4800,120000,520000,1800000
H008,Hinduja Hospital,Mumbai,Maharashtra,"Mahim, Mumbai",Private,4.6,"Cardiology,Nephrology,Oncology,Transplant",NABH,350,+91-22-24454545,340000,870000,390000,430000,48000,82000,4500,115000,500000,1750000
H009,KEM Hospital,Mumbai,Maharashtra,"Parel, Mumbai",Government,3.9,"Cardiology,Oncology,General Surgery,Orthopedics",,1800,+91-22-24107000,100000,300000,160000,180000,12000,30000,1200,40000,180000,600000
H010,Apollo Hospital,Mumbai,Maharashtra,"CBD Belapur, Navi Mumbai",Private,4.8,"Cardiology,Oncology,Orthopedics,Neurology,Transplant",JCI,600,+91-22-27783000,370000,930000,410000,460000,53000,90000,4900,125000,540000,1900000
H011,Fortis Hospital,Pune,Maharashtra,"Viman Nagar, Pune",Private,4.6,"Cardiology,Oncology,Orthopedics,Neurology",NABH,400,+91-20-67214444,300000,800000,360000,400000,45000,75000,4200,105000,450000,1600000
H012,Ruby Hall Clinic,Pune,Maharashtra,"Sassoon Road, Pune",Private,4.5,"Cardiology,Orthopedics,Oncology",NABH,375,+91-20-26163391,280000,750000,340000,380000,42000,70000,4000,100000,430000,1500000
H013,Sahyadri Hospital,Pune,Maharashtra,"Deccan Gymkhana, Pune",Private,4.4,"Cardiology,Neurology,Nephrology",NABH,320,+91-20-30208888,260000,720000,320000,360000,40000,68000,3800,95000,410000,1400000
H014,KEM Hospital Pune,Pune,Maharashtra,"Rasta Peth, Pune",Government,3.7,"General Surgery,Orthopedics,Cardiology",,600,+91-20-26128000,90000,280000,140000,160000,11000,28000,1100,35000,160000,550000
H015,Apollo Hospitals Hyderabad,Hyderabad,Telangana,"Jubilee Hills, Hyderabad",Private,4.8,"Cardiology,Oncology,Orthopedics,Transplant,Neurology",JCI,700,+91-40-23607777,360000,910000,400000,450000,52000,88000,4800,122000,530000,1850000
