procedure_id,procedure_name,procedure_aliases,cost_column,cost_min_inr,cost_max_inr,duration_days,specialist,risk_level,description
P001,Angioplasty,"PTCA,Balloon Angioplasty,Coronary Angioplasty,Stenting,PCI,Percutaneous Coronary Intervention",angioplasty_cost,80000,400000,3,"Interventional Cardiologist",Medium,"Minimally invasive procedure to open narrowed or blocked coronary arteries using a balloon catheter and often a stent."
P002,Bypass Surgery,"CABG,Coronary Bypass,Heart Bypass,Open Heart Surgery,Coronary Artery Bypass Grafting",bypass_surgery_cost,220000,980000,10,"Cardiac Surgeon",High,"Open-heart surgery to redirect blood flow around blocked coronary arteries using healthy blood vessels from other parts of the body."
P003,Knee Replacement,"TKR,Total Knee Replacement,Knee Arthroplasty,Knee Surgery",knee_replacement_cost,100000,450000,7,"Orthopedic Surgeon",Medium,"Surgical procedure to resurface a knee damaged by arthritis using metal and plastic parts to cap the ends of the bones."
P004,Hip Replacement,"THR,Total Hip Replacement,Hip Arthroplasty,Hip Surgery",hip_replacement_cost,120000,500000,7,"Orthopedic Surgeon",Medium,"Surgery to replace a damaged hip joint with an artificial implant to relieve pain and improve mobility."
P005,Cataract Surgery,"Phacoemulsification,Lens Replacement,LASIK,Eye Surgery",cataract_cost,8000,60000,1,"Ophthalmologist",Low,"Removal of the clouded natural lens of the eye and replacement with a clear artificial lens implant."
P006,Appendectomy,"Appendix Removal,Appendix Surgery,Laparoscopic Appendectomy",appendectomy_cost,20000,100000,3,"General Surgeon",Low,"Surgical removal of the appendix, typically performed as an emergency procedure when the appendix becomes inflamed."
P007,Dialysis,"Hemodialysis,Kidney Dialysis,Renal Dialysis",dialysis_cost,800,6000,1,"Nephrologist",Medium,"Medical procedure to remove waste products and excess fluid from the blood when the kidneys stop working properly."
P008,Chemotherapy,"Chemo,Cancer Treatment,Oncology Treatment",chemotherapy_cost,25000,150000,1,"Oncologist",High,"Treatment using drugs to kill cancer cells or stop them from growing, often used in combination with other cancer treatments."
P009,Spine Surgery,"Back Surgery,Spinal Fusion,Laminectomy,Discectomy,Vertebroplasty",spine_surgery_cost,130000,580000,7,"Spine Surgeon",High,"Surgical procedures to correct problems with the spine such as herniated discs, spinal stenosis, or fractures."
P010,Organ Transplant,"Kidney Transplant,Liver Transplant,Heart Transplant,Transplantation",organ_transplant_cost,450000,2100000,30,"Transplant Surgeon",Very High,"Surgical procedure to move an organ from one body (donor) to another (recipient) to replace a damaged or missing organ."
P011,Cardiac Catheterization,"Heart Catheterization,Coronary Angiography,Angiogram,Cath Lab",angioplasty_cost,30000,150000,1,"Interventional Cardiologist",Low,"Diagnostic procedure using a thin flexible tube inserted into a blood vessel to examine the heart and coronary arteries."
P012,ECG,"Electrocardiogram,EKG,Heart Test",angioplasty_cost,500,2000,1,"Cardiologist",Low,"Non-invasive test that records the electrical signals in the heart to detect heart conditions."
P013,MRI Scan,"MRI,Magnetic Resonance Imaging,Brain MRI,Spine MRI",spine_surgery_cost,5000,25000,1,"Radiologist",Low,"Imaging technique using magnetic fields and radio waves to create detailed images of organs and tissues."
P014,Cancer Screening,"Oncology Consultation,Cancer Diagnosis,Biopsy,PET Scan",chemotherapy_cost,5000,50000,1,"Oncologist",Low,"Tests and examinations used to detect cancer at an early stage before symptoms appear."
P015,Joint Replacement,"Shoulder Replacement,Elbow Replacement,Ankle Replacement",knee_replacement_cost,150000,500000,7,"Orthopedic Surgeon",Medium,"Surgical procedure to replace damaged joint surfaces with artificial components to restore function and reduce pain."
